1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
KOMPUTER,CANGGIH,TEKNOLOGI,INFORMASI,BERITA,SIARAN,,,,,bg1.jpg,,Jumlah huruf: 7,,,Jumlah huruf: 6,,,,,,level1.png,Easy
PABRIK,SEMEN,BANGUNAN,TUKANG,PARKIR,PARALEL,,,,,bg1.jpg,,Jumlah huruf: 5,,,Jumlah huruf: 6,,,,,,level1.png,Easy
TAHAN,GEMPA,BUMI,BULAT,BAKSO,MALANG,APEL,,,,bg1.jpg,,Jumlah huruf: 5,,,,Jumlah huruf: 6,,,,,level1.png,Easy
BATOK,KELAPA,TUNAS,POHON,TUMBANG,PETINJU,DUNIA,,,,bg1.jpg,,Jumlah huruf: 6,,,,Jumlah huruf: 7,,,,,level1.png,Easy
DANAU,BUATAN,PABRIK,KARYAWAN,KONTRAK,RUMAH,JENDELA,DUNIA,,,bg2.jpg,,Jumlah huruf: 6,,,,,Jumlah huruf: 7,,,,level2.png,Medium
ADU,CUPANG,IKAN,TERNAK,PAKAN,AYAM,PARUH,WAKTU,,,bg2.jpg,,Huruf terakhir: G,,,,,Huruf terakhir: H,,,,level2.png,Medium
POHON,KELADI,BIANG,GULA,BUBUK,MERICA,PEDAS,CABAI,ULEK,,bg2.jpg,,Huruf terakhir: I,,,,,,Huruf terakhir: I,,,level2.png,Medium
BUBUR,SUMSUM,TULANG,PUNGGUNG,BUKIT,PUNCAK,KARIR,WANITA,BEDAK,,bg2.jpg,,Huruf terakhir: M,,,,,,Huruf terakhir: A,,,level2.png,Medium
BACA CLUENYA,VARIO,BEAT,SUPRA,TIGER,GENIO,FORZA,REVO,SCOOPY,BACA CLUENYA,bg_clue.jpg,,Tipe motor Honda,Tipe motor Honda,Tipe motor Honda,Tipe motor Honda,Tipe motor Honda,Tipe motor Honda,Tipe motor Honda,Tipe motor Honda,,level_clue.png,Hard
JONGKOK,TOILET,PENJAGA,GAWANG,FUTSAL[*],SEPATU,TALI,JEMURAN,KERING,ROTI,bg3.jpg,,Huruf terakhir: T,,,,,,,Huruf terakhir: G,,level3.png,Hard
