1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
SAMBUNGAN,PIPA,MAKARONI,GORENG,TELUR[*],DADAR,GULUNG,TIKAR,PANDAN,WANGI,bg1.jpg,,,,Jumlah huruf: 6,,,Jumlah huruf: 6,,,,level1.png,Easy
KEMPING,TENDA,DARURAT,GAWAT,SITUASI[*],KONDISI,TERKINI,BERITA,PEMBAWA,ACARA,bg1.jpg,,,,Jumlah huruf: 5,,,Jumlah huruf: 7,,,,level1.png,Easy
BACA CLUENYA,ABANG,SUMBANG,KUJANG,PISANG[*],KEMBANG,GOYANG,GENDANG,TAMBANG,BACA CLUENYA,bg_clue.jpg,,Kata berakhiran -NG,Kata berakhiran -NG,Kata berakhiran -NG,Kata berakhiran -NG,Kata berakhiran -NG,Kata berakhiran -NG,Kata berakhiran -NG,Kata berakhiran -NG,,level_clue.png,Hard
UJUNG,JALAN,BUNTU,SALURAN,AIR[*],TERJUN,PAYUNG,LIPAT,KURSI,TAMU,bg1.jpg,,,,Jumlah huruf: 7,,,Jumlah huruf: 6,,,,level1.png,Easy
KEPITING,CAPIT,UDANG,OTAK,SENAM[*],AEROBIK,BAKTERI,INFEKSI,LUKA,PERBAN,bg2.jpg,,,,Huruf terakhir: K,,,Huruf terakhir: I,,,,level2.png,Medium
BACA CLUENYA,DOKTER,MASINIS,PILOT,SOPIR[*],GURU,AKUNTAN,TENTARA,WARTAWAN,BACA CLUENYA,bg_clue.jpg,,Jenis profesi,Jenis profesi,Jenis profesi,Jenis profesi,Jenis profesi,Jenis profesi,Jenis profesi,Jenis profesi,,level_clue.png,Medium
USUS,BUNTU,JALAN,PIKIRAN,JERNIH[*],SUNGAI,MUARA,BUAYA,DARAT,ANGKUTAN,bg2.jpg,,,,Huruf terakhir: N,,,Huruf terakhir: A,,,,level2.png,Medium
SAMBAL,BAJAK,LAUT,IKAN,SIRIP[*],TAJAM,SILET,CUKUR,RAMBUT,DADA,bg2.jpg,,,,Huruf terakhir: N,,,Huruf terakhir: T,,,,level2.png,Medium
BACA CLUENYA,EIGER,SWALLOW,BRODO,CARVIL[*],HOMYPED,ANDO,FIPPER,DAIMATU,BACA CLUENYA,bg_clue.jpg,,Merek sandal jepit,Merek sandal jepit,Merek sandal jepit,Merek sandal jepit,Merek sandal jepit,Merek sandal jepit,Merek sandal jepit,Merek sandal jepit,,level_clue.png,Hard
GULITA,GELAP,RUANG,GURU,HONORER,PEKERJA,LEPAS,TANGAN,LEMPAR,BATU,bg3.jpg,,Huruf terakhir: P,,,,,,,Huruf terakhir: R,,level3.png,Hard
