1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
TINTA,PRINTER,KABEL,PUTUS,LAYANGAN,TERBANG,BURUNG,EKOR,TULANG,GERGAJI,bg1.jpg,,Jumlah huruf: 7,,Jumlah huruf: 5,,,Jumlah huruf: 6,,Jumlah huruf: 6,,level1.png,Easy
BACA CLUENYA,CANDI,MUSEUM,PANTAI,WATERBOOM[*],MONUMEN,TAMAN,EDUPARK,KERATON,BACA CLUENYA,bg_clue.jpg,,Tempat wisata,Tempat wisata,Tempat wisata,Tempat wisata,Tempat wisata,Tempat wisata,Tempat wisata,Tempat wisata,,level_clue.png,Hard
BENING,BOTOL,KECAP,ASIN,TELUR,KULIT,KERUPUK,RENYAH,GORENGAN,BERMINYAK,bg1.jpg,,Jumlah huruf: 5,,Jumlah huruf: 4,,,Jumlah huruf: 7,,Jumlah huruf: 8,,level1.png,Easy
JANGGAL,KEJADIAN,PENTING,MASALAH,KESEHATAN,LINGKUNGAN,KELUARGA,TERHORMAT,ORANG,PINTAR,bg1.jpg,,Jumlah huruf: 8,,Jumlah huruf: 7,,,Jumlah huruf: 8,,Jumlah huruf: 5,,level1.png,Easy
RUBIK,BALOK,KAYU,CENDANA,MINYAK,NABATI,PROTEIN,TINGGI,BADAN,PENGAWAS,bg2.jpg,,Huruf terakhir: K,,Huruf terakhir: A,,,Huruf terakhir: N,,Huruf terakhir: N,,level2.png,Medium
BONSAI,KELAPA,MUDA,GENERASI,PENERUS,TRADISI,MASYARAKAT,SIPIL,TEKNIK,PENELITIAN,bg2.jpg,,Huruf terakhir: A,,Huruf terakhir: I,,,Huruf terakhir: T,,Huruf terakhir: K,,level2.png,Medium
TAS,PUNGGUNG,TULANG,PATAH,SEMANGAT,HIDUP,BIAYA,PERJALANAN,SPIRITUAL,PENGALAMAN,bg2.jpg,,Huruf terakhir: G,,Huruf terakhir: H,,,Huruf terakhir: A,,Huruf terakhir: L,,level2.png,Medium
HELM,PROYEK,RENOVASI,GEDUNG,TEATER,PERTUNJUKAN,SULAP,TRIK,MARKETING,DIGITAL,bg2.jpg,,Huruf terakhir: K,,Huruf terakhir: G,,,Huruf terakhir: P,,Huruf terakhir: G,,level2.png,Medium
ROBOT,MAINAN,EDUKASI,SOSIAL,SANKSI,ADMINISTRASI,BIAYA,PARKIR,DILARANG,MASUK,bg3.jpg,,Huruf terakhir: N,,Huruf terakhir: L,,,Huruf terakhir: A,,Huruf terakhir: G,,level3.png,Hard
ENGSEL,PINTU,PAGAR,RUMAH,MEWAH,PESTA,PERNIKAHAN,UNDANGAN,CETAK,MESIN,bg3.jpg,,Huruf terakhir: U,,,,,,,Huruf terakhir: K,,level3.png,Hard
