1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
KAIN,SUTRA,ULAT,BULU,KETIAK,BASAH,RUMPUT,SINTETIS,KARET,GETAH,bg1.jpg,,Jumlah huruf: 5,,Jumlah huruf: 4,,,Jumlah huruf: 6,,Jumlah huruf: 5,,level1.png,Easy
HIAS,LAMPU,TAMAN,BERMAIN,ARENA,TINJU,RING,BASKET,BOLA,BEKEL,bg1.jpg,,Jumlah huruf: 5,,Jumlah huruf: 7,,,Jumlah huruf: 4,,Jumlah huruf: 4,,level1.png,Easy
MEREM,MATA,GERGAJI,MESIN,PENGERING,PAKAIAN,ADAT,HUKUM,FAKULTAS,DOSEN,bg1.jpg,,Jumlah huruf: 4,,Jumlah huruf: 5,,,Jumlah huruf: 4,,Jumlah huruf: 8,,level1.png,Easy
GATAL,TENGGOROKAN,RADANG,SENDI,LUTUT,CEDERA,RINGAN,HUJAN,METEOR,GARDEN,bg1.jpg,,Jumlah huruf: 11,,Jumlah huruf: 5,,,Jumlah huruf: 6,,Jumlah huruf: 6,,level1.png,Easy
BULU,SULAK,DEBU,JALANAN,ASPAL,HITAM,TINTA,KULI,TAMBANG,EMAS,bg2.jpg,,Huruf terakhir: K,,Huruf terakhir: N,,,Huruf terakhir: A,,Huruf terakhir: G,,level2.png,Medium
DINGIN,SALJU,BONEKA,BESAR,GAJAH,KUPING,TAJAM,TARING,BUAYA,MUARA,bg2.jpg,,Huruf terakhir: U,,Huruf terakhir: R,,,Huruf terakhir: M,,Huruf terakhir: A,,level2.png,Medium
MANDI,SHOWER,SELANG,BENSIN,POMPA,SEPEDA,SETANG,JEPIT,KERTAS,GAMBAR,bg2.jpg,,Huruf terakhir: R,,Huruf terakhir: N,,,Huruf terakhir: G,,Huruf terakhir: S,,level2.png,Medium
PIANO,KONSER,AMAL,DONASI,BENCANA,SIAGA,MOBIL,AMBULANS,GRATIS,PARKIR,bg2.jpg,,Huruf terakhir: R,,Huruf terakhir: I,,,Huruf terakhir: L,,Huruf terakhir: S,,level2.png,Medium
BACA CLUENYA,GITAR,UKULELE,HARPA,SASANDO[*],BASS,KECAPI,SITER,SAPE,BACA CLUENYA,bg_clue.jpg,,Alat musik petik,Alat musik petik,Alat musik petik,Alat musik petik,Alat musik petik,Alat musik petik,Alat musik petik,Alat musik petik,,level_clue.png,Hard
JARING,NYAMUK,RAKET,BADMINTON,WASIT,PELUIT,KERETA,EKONOMI,KELAS,NAIK,bg3.jpg,,Huruf terakhir: K,,,,,,,Huruf terakhir: S,,level3.png,Hard
