1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
MULES,PERUT,KEMBUNG,IKAN,SEBELAH,TETANGGA,RUKUN,WARGA,DATA,PAKET,bg1.jpg,,Jumlah huruf: 5,,Jumlah huruf: 4,,,Jumlah huruf: 5,,Jumlah huruf: 4,,level1.png,Easy
WARGA,SIPIL,TEKNIK,KIMIA,BAHAN,BAKU,EJAAN,KESALAHAN,FATAL,KECELAKAAN,bg1.jpg,,Jumlah huruf: 5,,Jumlah huruf: 5,,,Jumlah huruf: 5,,Jumlah huruf: 5,,level1.png,Easy
BACA CLUENYA,PERSIA,SIAM,MAINECOON,SPHYNX[*],MUNCHKIN,ANGGORA,BENGAL,KAMPUNG,BACA CLUENYA,bg_clue.jpg,,Nama jenis kucing,Nama jenis kucing,Nama jenis kucing,Nama jenis kucing,Nama jenis kucing,Nama jenis kucing,Nama jenis kucing,Nama jenis kucing,,level_clue.png,Hard
MERAH,PALANG,PERLINTASAN,KERETA,GERBONG,NOMOR,SURAT,ELEKTRONIK,MEDIA,MASSA,bg1.jpg,,Jumlah huruf: 6,,Jumlah huruf: 6,,,Jumlah huruf: 5,,Jumlah huruf: 5,,level1.png,Easy
LOKOMOTIF,KEPALA,KANTOR,DAGANG,SURAT,AMPLOP,UANG,TRANSFER,PULSA,VOUCHER,bg2.jpg,,Huruf terakhir: A,,Huruf terakhir: G,,,Huruf terakhir: G,,Huruf terakhir: A,,level2.png,Medium
SAKU,CATATAN,HARIAN,LAPORAN,JUDUL,CERITA,RAKYAT,WAKIL,CALON,PENGANTIN,bg2.jpg,,Huruf terakhir: N,,Huruf terakhir: N,,,Huruf terakhir: T,,Huruf terakhir: N,,level2.png,Medium
LOGAM,BERAT,KELAS,RUANG,PERTEMUAN,KELUARGA,FOTO,BINGKAI,KACA,NAKO,bg2.jpg,,Huruf terakhir: T,,Huruf terakhir: G,,,Huruf terakhir: O,,Huruf terakhir: A,,level2.png,Medium
SUMBER,BENCANA,KORBAN,IDENTITAS,KARTU,KREDIT,FIKTIF,TOKOH,BIOGRAFI,BUKU,bg2.jpg,,Huruf terakhir: A,,Huruf terakhir: S,,,Huruf terakhir: F,,Huruf terakhir: I,,level2.png,Medium
LAMARAN,PEKERJAAN,SOSIAL,BUDAYA,TIMUR,TIMOR,MOBIL,KNALPOT,BISING,SUARA,bg3.jpg,,Huruf terakhir: N,,,,,,,Huruf terakhir: G,,level3.png,Hard
SINYAL,GANGGUAN,JIWA,ASURANSI,AGEN,RAHASIA,PINTU,HIDROLIK,DONGKRAK,MOBIL,bg3.jpg,,Huruf terakhir: N,,,,,,,Huruf terakhir: K,,level3.png,Hard
