1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
TERJAL,LERENG,GUNUNG,PUNCAK,ACARA,SUSUNAN,,,,,bg1.jpg,,Jumlah huruf: 6,,,Jumlah huruf: 5,,,,,,level1.png,Easy
VULKANIK,GEMPA,BUMI,INTI,BAGIAN,ATAS,,,,,bg1.jpg,,Jumlah huruf: 5,,,Jumlah huruf: 6,,,,,,level1.png,Easy
TOKEN,LISTRIK,BELUT,LICIN,LANTAI,SENAM,IRAMA,,,,bg1.jpg,,Jumlah huruf: 7,,,,Jumlah huruf: 5,,,,,level1.png,Easy
TOMBOL,TEKAN,GAYA,HIDUP,BIAYA,ANGGARAN,SURPLUS,,,,bg1.jpg,,Jumlah huruf: 5,,,,Jumlah huruf: 8,,,,,level1.png,Easy
LORENG,TENTARA,MARKAS,RAHASIA,DOKUMEN,PRIBADI,ASISTEN,VIRTUAL,,,bg2.jpg,,Jumlah huruf: 7,,,,,Jumlah huruf: 7,,,,level2.png,Medium
RENDANG,PADANG,RUMPUT,KARPET,MOTIF,BATIK,TULIS,ARTIKEL,,,bg2.jpg,,Huruf terakhir: G,,,,,Huruf terakhir: S,,,,level2.png,Medium
TABLET,KUNYAH,PERMEN,KARET,MELAR,BAJU,RENANG,KOLAM,IKAN,,bg2.jpg,,Huruf terakhir: H,,,,,,Huruf terakhir: M,,,level2.png,Medium
SARANG,SEMUT,BARIS,LURUS,RAMBUT,RONTOK,KARAT,BESI,BERANI,,bg2.jpg,,Huruf terakhir: T,,,,,,Huruf terakhir: I,,,level2.png,Medium
BACA CLUENYA,RONALDO,MESSI,PELE,MARADONA,NEYMAR,ZIDANE,MBAPPE,MALDINI,BACA CLUENYA,bg_clue.jpg,,Pemain bola terkenal,Pemain bola terkenal,Pemain bola terkenal,Pemain bola terkenal,Pemain bola terkenal,Pemain bola terkenal,Pemain bola terkenal,Pemain bola terkenal,,level_clue.png,Hard
AMERIKA,SERIKAT,PEKERJA,LEPAS,PANTAI[*],OMBAK,SELANCAR,PAPAN,TULIS,PULPEN,bg3.jpg,,Huruf terakhir: T,,,,,,,Huruf terakhir: S,,level3.png,Hard
