1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
MASALAH,BIANG,PENYAKIT,MENULAR,WABAH[*],VIRUS,INFEKSI,BAKTERI,KULTUR,MEDIA,bg1.jpg,,,,Jumlah huruf: 7,,,Jumlah huruf: 7,,,,level1.png,Easy
WORD,MICROSOFT,BING,SLAMET,GUNUNG[*],PENDAKI,CERITA,PENDEK,CELANA,DALAM,bg1.jpg,,,,Jumlah huruf: 6,,,Jumlah huruf: 6,,,,level1.png,Easy
BACA CLUENYA,ARJUNA,NAKULA,SADEWA,WERKUDARA[*],DURYUDANA,YUDHISTIRA,SENGKUNI,GATOTKACA,BACA CLUENYA,bg_clue.jpg,,Tokoh pewayangan,Tokoh pewayangan,Tokoh pewayangan,Tokoh pewayangan,Tokoh pewayangan,Tokoh pewayangan,Tokoh pewayangan,Tokoh pewayangan,,level_clue.png,Hard
KRIM,MALAM,JUMAT,SHOLAT,WAJIB[*],BELAJAR,MEMBACA,KITAB,SUCI,BERSIH,bg1.jpg,,,,Jumlah huruf: 6,,,Jumlah huruf: 7,,,,level1.png,Easy
MODAL,USAHA,MAJU,NEGARA,INDONESIA[*],RAKYAT,PERTUNJUKAN,SENI,ONDELONDEL,BETAWI,bg2.jpg,,,,Huruf terakhir: A,,,Huruf terakhir: N,,,,level2.png,Medium
BACA CLUENYA,COKELAT,MERAH,JINGGA,KUNING[*],HIJAU,BIRU,UNGU,PUTIH,BACA CLUENYA,bg_clue.jpg,,Nama warna,Nama warna,Nama warna,Nama warna,Nama warna,Nama warna,Nama warna,Nama warna,,level_clue.png,Medium
WELCOME,KESET,KAKI,KAMBING,GULING[*],BELAKANG,RUMAH,SUSUN,KATA,BERKAIT,bg2.jpg,,,,Huruf terakhir: G,,,Huruf terakhir: H,,,,level2.png,Medium
ALIS,TEBAL,BUKU,CERITA,PENDEK[*],RAMBUT,LURUS,GARIS,TANGAN,KANAN,bg2.jpg,,,,Huruf terakhir: A,,,Huruf terakhir: S,,,,level2.png,Medium
BACA CLUENYA,SEARCH,GMAIL,YOUTUBE,WORKSPACE[*],CHROME,DRIVE,MAPS,ADSENSE,BACA CLUENYA,bg_clue.jpg,,Produk Google,Produk Google,Produk Google,Produk Google,Produk Google,Produk Google,Produk Google,Produk Google,,level_clue.png,Hard
OBAT,BATUK,KERING,KUE,LEBARAN[*],THR,UANG,MAINAN,ANAK,PEREMPUAN,bg3.jpg,,Huruf terakhir: K,,,,,,,Huruf terakhir: K,,level3.png,Hard
