1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
PARKIR,JURU,MASAK,BUMBU,RAHASIA,DOKUMEN,NEGARA,MAJU,JALAN,RAYA,bg1.jpg,,Jumlah huruf: 4,,Jumlah huruf: 5,,,Jumlah huruf: 6,,Jumlah huruf: 5,,level1.png,Easy
PENGAMEN,JALANAN,IBUKOTA,JAKARTA,PUSAT,GEMPA,TEKTONIK,LEMPENG,BUMI,PERKEMAHAN,bg1.jpg,,Jumlah huruf: 7,,Jumlah huruf: 7,,,Jumlah huruf: 8,,Jumlah huruf: 4,,level1.png,Easy
PEMULUNG,GEROBAK,SAMPAH,BANK,TABUNGAN,REKENING,NOMOR,IDENTITAS,KARTU,ANGGOTA,bg1.jpg,,Jumlah huruf: 7,,Jumlah huruf: 4,,,Jumlah huruf: 5,,Jumlah huruf: 5,,level1.png,Easy
MULUS,WAJAH,PEMBERSIH,LANTAI,LICIN,BELUT,KERIPIK,RENYAH,BISKUIT,GANDUM,bg1.jpg,,Jumlah huruf: 5,,Jumlah huruf: 6,,,Jumlah huruf: 7,,Jumlah huruf: 7,,level1.png,Easy
JERAWAT,PENCET,TOMBOL,LAMPU,DISKO,MUSIK,PANGGUNG,SANDIWARA,AKTOR,FILM,bg2.jpg,,Huruf terakhir: T,,Huruf terakhir: U,,,Huruf terakhir: G,,Huruf terakhir: R,,level2.png,Medium
BIJI,MARKISA,SIRUP,MANIS,PERMEN,COKELAT,BUBUK,LADA,PEDAS,SAMBAL,bg2.jpg,,Huruf terakhir: A,,Huruf terakhir: S,,,Huruf terakhir: K,,Huruf terakhir: S,,level2.png,Medium
BOLA,TENIS,RAKET,NYAMUK,JARING,IKAN,TERNAK,PAKAN,AYAM,GEPREK,bg2.jpg,,Huruf terakhir: S,,Huruf terakhir: K,,,Huruf terakhir: K,,Huruf terakhir: M,,level2.png,Medium
BURUNG,GAGAK,SUARA,PESAN,MAKANAN,KALENG,KERUPUK,UDANG,OTAK,KECIL,bg2.jpg,,Huruf terakhir: K,,Huruf terakhir: N,,,Huruf terakhir: K,,Huruf terakhir: K,,level2.png,Medium
BACA CLUENYA,BENYAMIN,KOMENG,TESSY,MIING[*],BOLOT,TUKUL,ATENG,KASINO,BACA CLUENYA,bg_clue.jpg,,Pelawak terkenal,Pelawak terkenal,Pelawak terkenal,Pelawak terkenal,Pelawak terkenal,Pelawak terkenal,Pelawak terkenal,Pelawak terkenal,,level_clue.png,Hard
KUKU,MACAN,KUMBANG,BADAK,JAWA,BARAT,LAUT,MUTIARA,KALUNG,EMAS,bg3.jpg,,Huruf terakhir: N,,,,,,,Huruf terakhir: G,,level3.png,Hard
