1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
RUMPUT,TETANGGA,RUKUN,WARGA,RAPAT,RUANG[*],GURU,KELAS,WALI,SONGO,bg1.jpg,,,,Jumlah huruf: 5,,,Jumlah huruf: 4,,,,level1.png,Easy
RIDHO,RHOMA,IRAMA,LAGU,CINTA,BUTA[*],HURUF,LATIN,BAHASA,ARAB,bg1.jpg,,,,Jumlah huruf: 4,,,Jumlah huruf: 5,,,,level1.png,Easy
BACA CLUENYA,MODENA,KIRIN,OXONE,ELECTROLUX,QUANTUM[*],WINNGAS,SANKEN,RINNAI,BACA CLUENYA,bg_clue.jpg,,Merek kompor gas,Merek kompor gas,Merek kompor gas,Merek kompor gas,Merek kompor gas,Merek kompor gas,Merek kompor gas,Merek kompor gas,,level_clue.png,Hard
TEMBOK,CHINA,BUATAN,TANGAN,BUAH,KERANJANG[*],SAMPAH,ORGANIK,PUPUK,CAIR,bg1.jpg,,,,Jumlah huruf: 6,,,Jumlah huruf: 6,,,,level1.png,Easy
QUANTUM,KOMPOR,GAS,ALAM,KUBUR,SIKSA[*],NERAKA,API,BATU,GINJAL,bg2.jpg,,,,Huruf terakhir: M,,,Huruf terakhir: A,,,,level2.png,Medium
BACA CLUENYA,YUPI,MENTOS,KOPIKO,DAVOS,XYLITOL[*],MILKITA,BLASTER,RELAXA,BACA CLUENYA,bg_clue.jpg,,Merek permen,Merek permen,Merek permen,Merek permen,Merek permen,Merek permen,Merek permen,Merek permen,,level_clue.png,Medium
ANGIN,TOLAK,BALA,TENTARA,MARKAS,PUSAT[*],DATA,KABEL,USB,COLOKAN,bg2.jpg,,,,Huruf terakhir: A,,,Huruf terakhir: A,,,,level2.png,Medium
POLISI,TIDUR,OBAT,CACING,TAMBANG,TARIK[*],TUNAI,BAYAR,CICILAN,KREDIT,bg2.jpg,,,,Huruf terakhir: G,,,Huruf terakhir: I,,,,level2.png,Medium
BACA CLUENYA,NESCAFE,ABC,GOODDAY,INDOCAFE,GADJAH[*],LUWAK,TOP,KAPALAPI,BACA CLUENYA,bg_clue.jpg,,Merek kopi instan,Merek kopi instan,Merek kopi instan,Merek kopi instan,Merek kopi instan,Merek kopi instan,Merek kopi instan,Merek kopi instan,,level_clue.png,Hard
PINTAS,JALAN,ALTERNATIF,PENGOBATAN,TRADISIONAL,MAKANAN[*],DAERAH,KUMUH,PEMUKIMAN,WARGA,bg3.jpg,,Huruf terakhir: N,,,,,,,Huruf terakhir: N,,level3.png,Hard
