1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
KERUPUK,JENGKOL,SEMUR,AYAM,JENGGER[*],JAGO,KANDANG,KAMBING,SUSU,MURNI,bg1.jpg,,Jumlah huruf: 7,,Jumlah huruf: 4,,,Jumlah huruf: 7,,Jumlah huruf: 4,,level1.png,Easy
MALAM,JUMAT,SHOLAT,WAJIB,BELAJAR,MENULIS,BUKU,GAMBAR,ARSITEK,RUMAH,bg1.jpg,,Jumlah huruf: 5,,Jumlah huruf: 5,,,Jumlah huruf: 4,,Jumlah huruf: 7,,level1.png,Easy
BACA CLUENYA,KENARI,PARKIT,MERPATI,LOVEBIRD[*],KACER,KUTILANG,MURAI,PERKUTUT,BACA CLUENYA,bg_clue.jpg,,Burung peliharaan,Burung peliharaan,Burung peliharaan,Burung peliharaan,Burung peliharaan,Burung peliharaan,Burung peliharaan,Burung peliharaan,,level_clue.png,Hard
GANJIL,BILANGAN,ROMAWI,BANGSA,IDENTITAS,KARTU,GARANSI,DISTRIBUTOR,RESMI,ACARA,bg1.jpg,,Jumlah huruf: 8,,Jumlah huruf: 6,,,Jumlah huruf: 7,,Jumlah huruf: 5,,level1.png,Easy
TEH,KEBUN,RAYA,HARI,TENANG,PIKIRAN,BEBAS,TENDANGAN,MAUT,MALAIKAT,bg2.jpg,,Huruf terakhir: N,,Huruf terakhir: I,,,Huruf terakhir: S,,Huruf terakhir: T,,level2.png,Medium
RADIATOR,MOBIL,JEPANG,RUMPUT,GUNTING,KUKU,MACAN,KUMBANG,BADAK,CULA,bg2.jpg,,Huruf terakhir: L,,Huruf terakhir: T,,,Huruf terakhir: N,,Huruf terakhir: K,,level2.png,Medium
BOTOL,LABEL,HARGA,BANTING,SETIR,MOBIL,BAGASI,PINTU,GAGANG,PANCI,bg2.jpg,,Huruf terakhir: L,,Huruf terakhir: G,,,Huruf terakhir: I,,Huruf terakhir: G,,level2.png,Medium
KERING,DAUN,GUGUR,PAHLAWAN,NASIONAL,BERITA,KANTOR,PEMASARAN,TEKNIK,ELEKTRO,bg2.jpg,,Huruf terakhir: N,,Huruf terakhir: N,,,Huruf terakhir: R,,Huruf terakhir: K,,level2.png,Medium
LARI,PAGI,BUTA,TULIS,BUKU,CATATAN,RAPOR,NILAI,UJIAN,AKHIR,bg3.jpg,,Huruf terakhir: I,,,,,,,Huruf terakhir: N,,level3.png,Hard
NASI,PADANG,RUMPUT,SINTETIS,KULIT,SALEP,MATA,KAKI,TANGAN,CUCI,bg3.jpg,,Huruf terakhir: G,,,,,,,Huruf terakhir: N,,level3.png,Hard
