1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
MAS,KOKI,BOLA,BILIAR,TONGKAT,SIHIR,HITAM,BAJA,BESI,BERANI,bg1.jpg,,,,Jumlah huruf: 6,,,Jumlah huruf: 5,,,,level1.png,Easy
SINAR,MATAHARI,GERHANA,TOTAL,MACET,JALAN,BERLUBANG,GIGI,PASTA,PROSESOR,bg1.jpg,,,,Jumlah huruf: 5,,,Jumlah huruf: 9,,,,level1.png,Easy
BACA CLUENYA,JAKARTA,SURABAYA,YOGYAKARTA,LAMPUNG,MAKASSAR,BANJARMASIN,PONTIANAK,DENPASAR,BACA CLUENYA,bg_clue.jpg,,Nama kota besar,Nama kota besar,Nama kota besar,Nama kota besar,Nama kota besar,Nama kota besar,Nama kota besar,Nama kota besar,,level_clue.png,Hard
BOTOL,MINUM,AIR,PANAS,KNALPOT,MOTOR,BALAPAN,STASIUN,KERETA,KUDA,bg1.jpg,,,,Jumlah huruf: 5,,,Jumlah huruf: 7,,,,level1.png,Easy
LIAT,TANAH,SUBUR,KANDUNGAN,PERIKSA,DOKTER,BEDAH,OPERASI,GABUNGAN,PASUKAN,bg2.jpg,,,,Huruf terakhir: N,,,Huruf terakhir: H,,,,level2.png,Medium
BACA CLUENYA,LENOVO,DELL,ASUS,AXIOO,APPLE,ADVAN,SAMSUNG,ACER,BACA CLUENYA,bg_clue.jpg,,Merek laptop,Merek laptop,Merek laptop,Merek laptop,Merek laptop,Merek laptop,Merek laptop,Merek laptop,,level_clue.png,Medium
TIANG,BENDERA,PUSAKA,BENDA,PADAT,MAKANAN,RINGAN,TANGAN,BESI,COR,bg2.jpg,,,,Huruf terakhir: A,,,Huruf terakhir: N,,,,level2.png,Medium
BACA CLUENYA,JERUK,MANGGA,APEL,SEMANGKA,PEPAYA,NANGKA,CEMPEDAK,BIT,BACA CLUENYA,bg_clue.jpg,,Nama buah,Nama buah,Nama buah,Nama buah,Nama buah,Nama buah,Nama buah,Nama buah,,level_clue.png,Medium
BEBAN,PIKIRAN,KACAU,KONDISI,SITUASI,GENTING,PERISTIWA,PENTING,ORANG,PINTAR,bg3.jpg,,Huruf terakhir: N,,,,,,,Huruf terakhir: G,,level3.png,Hard
PAPAN,REKLAME,CETAK,MESIN,GERGAJI,BELAH,DUREN,SAWIT,KELAPA,MINYAK,bg3.jpg,,Huruf terakhir: E,,,,,,,Huruf terakhir: A,,level3.png,Hard
