1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
GANTUNG,KERITING,RAMBUT,KONDE,TUSUK[*],SATE,BUMBU,INSTAN,JILBAB,PARIS,bg1.jpg,,Jumlah huruf: 8,,Jumlah huruf: 5,,,Jumlah huruf: 5,,Jumlah huruf: 6,,level1.png,Easy
POPOK,BAYI,BUBUR,JAGUNG,MANIS[*],TEH,BOTOL,MINYAK,RAMBUT,SEMIR,bg1.jpg,,Jumlah huruf: 4,,Jumlah huruf: 6,,,Jumlah huruf: 5,,Jumlah huruf: 6,,level1.png,Easy
BACA CLUENYA,SEMERU,RINJANI,MERAPI,KERINCI[*],GALUNGGUNG,PAPANDAYAN,KELUD,BROMO,BACA CLUENYA,bg_clue.jpg,,Gunung di Indonesia,Gunung di Indonesia,Gunung di Indonesia,Gunung di Indonesia,Gunung di Indonesia,Gunung di Indonesia,Gunung di Indonesia,Gunung di Indonesia,,level_clue.png,Hard
BAK,TRUK,SAMPAH,TEMPAT,WISATA[*],RELIGI,LAGU,DAERAH,KEPALA,IKAT,bg1.jpg,,Jumlah huruf: 4,,Jumlah huruf: 6,,,Jumlah huruf: 4,,Jumlah huruf: 6,,level1.png,Easy
ROMPI,PROYEK,KONSTRUKSI,GAMBAR,KARTUN[*],FILM,SUTRADARA,ASISTEN,DOKTER,SPESIALIS,bg2.jpg,,Huruf terakhir: K,,Huruf terakhir: R,,,Huruf terakhir: A,,Huruf terakhir: R,,level2.png,Medium
GELANG,KAKI,ALAS,DUDUK,BANTAL[*],LEHER,BETON,TIANG,LAMPU,HIAS,bg2.jpg,,Huruf terakhir: I,,Huruf terakhir: K,,,Huruf terakhir: N,,Huruf terakhir: U,,level2.png,Medium
BACA CLUENYA,KAPUAS,BARITO,MAHAKAM,KUANTAN[*],CITARUM,MARTAPURA,BRANTAS,KAMPAR,BACA CLUENYA,bg_clue.jpg,,Sungai di Indonesia,Sungai di Indonesia,Sungai di Indonesia,Sungai di Indonesia,Sungai di Indonesia,Sungai di Indonesia,Sungai di Indonesia,Sungai di Indonesia,,level_clue.png,Medium
JULING,MATA,TETES,OBAT,MERAH[*],JEMBATAN,LAYANG,JALAN,SEHAT,MAKANAN,bg2.jpg,,Huruf terakhir: A,,Huruf terakhir: T,,,Huruf terakhir: G,,Huruf terakhir: T,,level2.png,Medium
SUMBING,BIBIR,GINCU,MERAH,MUDA[*],KELAPA,SABUT,KAWAT,GIGI,KARANG,bg3.jpg,,Huruf terakhir: R,,,,,,,Huruf terakhir: I,,level3.png,Hard
BACA CLUENYA,JATILUHUR,SAGULING,JATIGEDE,CIRATA[*],KEDUNGOMBO,KARANGKATES,BATUREGI,WONOREJO,BACA CLUENYA,bg_clue.jpg,,Waduk di Indonesia,Waduk di Indonesia,Waduk di Indonesia,Waduk di Indonesia,Waduk di Indonesia,Waduk di Indonesia,Waduk di Indonesia,Waduk di Indonesia,,level_clue.png,Medium
