1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
FIGURA,FOTO,PAHLAWAN,NASIONAL,ARSIP,SEJARAH,CATATAN,BUKU,NOTA,KOSONG,bg1.jpg,,Jumlah huruf: 4,,Jumlah huruf: 8,,,Jumlah huruf: 7,,Jumlah huruf: 4,,level1.png,Easy
BACA CLUENYA,ERTIGA,JIMNY,VITARA,BALENO,CARRY,KARIMUN,IGNIS,SWIFT,BACA CLUENYA,bg_clue.jpg,,Tipe mobil Suzuki,Tipe mobil Suzuki,Tipe mobil Suzuki,Tipe mobil Suzuki,Tipe mobil Suzuki,Tipe mobil Suzuki,Tipe mobil Suzuki,Tipe mobil Suzuki,,level_clue.png,Hard
AIR,GAYUNG,PLASTIK,KANTONG,UDARA,POLUSI,SUARA,REKAMAN,KEJADIAN,LANGKA,bg1.jpg,,Jumlah huruf: 6,,Jumlah huruf: 7,,,Jumlah huruf: 5,,Jumlah huruf: 8,,level1.png,Easy
KOPER,RODA,KURSI,ROTAN,KERANJANG,BELANJA,ONLINE,KURSUS,BAHASA,ASING,bg1.jpg,,Jumlah huruf: 4,,Jumlah huruf: 5,,,Jumlah huruf: 6,,Jumlah huruf: 6,,level1.png,Easy
PANCI,PRESTO,BANDENG,TAMBAK,UDANG,KERUPUK,MENTAH,MINYAK,KELAPA,BISKUIT,bg2.jpg,,Huruf terakhir: O,,Huruf terakhir: K,,,Huruf terakhir: H,,Huruf terakhir: A,,level2.png,Medium
SENDOK,ULAR,SARANG,BURUNG,HANTU,POCONG,LOMPAT,PAGAR,BETIS,VARISES,bg2.jpg,,Huruf terakhir: R,,Huruf terakhir: G,,,Huruf terakhir: T,,Huruf terakhir: S,,level2.png,Medium
ROMPI,PROYEK,JEMBATAN,GANTUNG,HIASAN,DINDING,CERMIN,BULAT,TAHU,PONG,bg2.jpg,,Huruf terakhir: K,,Huruf terakhir: G,,,Huruf terakhir: N,,Huruf terakhir: U,,level2.png,Medium
GILA,KERJA,LEMBUR,MALAM,TAKBIRAN,PARADE,MILITER,KENDARAAN,UMUM,FASILITAS,bg2.jpg,,Huruf terakhir: A,,Huruf terakhir: M,,,Huruf terakhir: R,,Huruf terakhir: M,,level2.png,Medium
POSTER,KAMPANYE,PEMILU,PRESIDEN,DIREKTUR,RAPAT,RUANG,TERBUKA,UNDANGAN,DIGITAL,bg3.jpg,,Huruf terakhir: E,,,,,,,Huruf terakhir: N,,level3.png,Hard
PERILAKU,BUSUK,TELUR,BULAT,TAHU,SEMUR,JENGKOL,BALADO,KENTANG,PERKEDEL,bg3.jpg,,Huruf terakhir: K,,,,,,,Huruf terakhir: G,,level3.png,Hard
