1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
TUAS,REM,TANGAN,ANGKAT,BESI,TUANG,MINUMAN,KALENG,SURAT,PERANGKO,bg1.jpg,,Jumlah huruf: 3,,Jumlah huruf: 6,,,Jumlah huruf: 7,,Jumlah huruf: 5,,level1.png,Easy
MOTOR,RODA,GIGI,PALSU,IJAZAH,SEKOLAH,LIBUR,HARI,JUMAT,KLIWON,bg1.jpg,,Jumlah huruf: 4,,Jumlah huruf: 5,,,Jumlah huruf: 5,,Jumlah huruf: 5,,level1.png,Easy
BACA CLUENYA,KAMPUNG,BULLDOG,HUSKY,CHIHUAHUA[*],PUDEL,HERDER,PITBULL,DOBERMAN,BACA CLUENYA,bg_clue.jpg,,Nama jenis anjing,Nama jenis anjing,Nama jenis anjing,Nama jenis anjing,Nama jenis anjing,Nama jenis anjing,Nama jenis anjing,Nama jenis anjing,,level_clue.png,Hard
HAZARD,LAMPU,SAKLAR,SENTUH,LAYAR,TELEVISI,TABUNG,OKSIGEN,TANGKI,TRUK,bg1.jpg,,Jumlah huruf: 5,,Jumlah huruf: 6,,,Jumlah huruf: 6,,Jumlah huruf: 6,,level1.png,Easy
KABEL,SETRIKA,LISTRIK,METERAN,KAIN,POLOS,KEMEJA,KANCING,LUBANG,GALI,bg2.jpg,,Huruf terakhir: A,,Huruf terakhir: N,,,Huruf terakhir: A,,Huruf terakhir: G,,level2.png,Medium
BAN,SEREP,KUNCI,INGGRIS,GARAM,ASIN,IKAN,JARING,BOLA,SEPAK,bg2.jpg,,Huruf terakhir: P,,Huruf terakhir: S,,,Huruf terakhir: N,,Huruf terakhir: A,,level2.png,Medium
BAKUL,BAMBU,RUNCING,TOMBAK,IKAN,KALENG,PEMBUKA,BOTOL,PLASTIK,KANTONG,bg2.jpg,,Huruf terakhir: U,,Huruf terakhir: K,,,Huruf terakhir: A,,Huruf terakhir: K,,level2.png,Medium
PANCI,TAMBAL,BAN,LUAR,ANGKASA,MISI,RAHASIA,NEGARA,DOKUMEN,PENTING,bg2.jpg,,Huruf terakhir: L,,Huruf terakhir: R,,,Huruf terakhir: A,,Huruf terakhir: N,,level2.png,Medium
GEROBAK,RONGSOK,BESI,SIKU,PIPA,AIR,PANAS,API,BARA,BATU,bg3.jpg,,Huruf terakhir: K,,,,,,,Huruf terakhir: A,,level3.png,Hard
TANG,BUAYA,DARAT,ANGKUTAN,KOTA,WALI,NIKAH,BUKU,TULIS,ALAT,bg3.jpg,,Huruf terakhir: A,,,,,,,Huruf terakhir: S,,level3.png,Hard
