1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
LAMPUNG,BANDAR,UDARA,DINGIN,AIR[*],TERJUN,PAYUNG,LIPAT,KERTAS,UANG,bg1.jpg,,,,Jumlah huruf: 6,,,Jumlah huruf: 6,,,,level1.png,Easy
RANJANG,KASUR,BUSA,SABUN,MANDI[*],SIKAT,KAWAT,TEMBAGA,BIJIH,BESI,bg1.jpg,,,,Jumlah huruf: 5,,,Jumlah huruf: 5,,,,level1.png,Easy
BACA CLUENYA,CEMANI,KATE,BEKISAR,KAMPUNG[*],PELUNG,BANGKOK,ARAB,BROILER,BACA CLUENYA,bg_clue.jpg,,Nama jenis ayam,Nama jenis ayam,Nama jenis ayam,Nama jenis ayam,Nama jenis ayam,Nama jenis ayam,Nama jenis ayam,Nama jenis ayam,,level_clue.png,Hard
ASAHAN,PISAU,TAJAM,DURI,MAWAR[*],AROMA,TUBUH,BATANG,BAMBU,RUNCING,bg1.jpg,,,,Jumlah huruf: 4,,,Jumlah huruf: 5,,,,level1.png,Easy
PAKU,BUMI,GEMPA,SUSULAN,UJIAN[*],AKHIR,TUGAS,KELOMPOK,BERMAIN,TAMAN,bg2.jpg,,,,Huruf terakhir: N,,,Huruf terakhir: S,,,,level2.png,Medium
BACA CLUENYA,CROCODILE,GTMAN,RIDER,CHAMPIRO[*],SOREX,FLYMAN,AGREE,ADIDAS,BACA CLUENYA,bg_clue.jpg,,Merek sempak,Merek sempak,Merek sempak,Merek sempak,Merek sempak,Merek sempak,Merek sempak,Merek sempak,,level_clue.png,Medium
KODOK,TIMBANGAN,DIGITAL,KAMERA,BELAKANG[*],REM,MINYAK,TANAH,SURAT,AMPLOP,bg2.jpg,,,,Huruf terakhir: A,,,Huruf terakhir: K,,,,level2.png,Medium
CETAK,UNDANGAN,NIKAH,MASSAL,SENAM[*],LANTAI,PAPAN,CATUR,KUDA,LUMPING,bg2.jpg,,,,Huruf terakhir: L,,,Huruf terakhir: N,,,,level2.png,Medium
BACA CLUENYA,OBENG,TANG,PALU,SIGMAT[*],CORONG,GERINDA,KOMPRESOR,DONGKRAK,BACA CLUENYA,bg_clue.jpg,,Peralatan bengkel,Peralatan bengkel,Peralatan bengkel,Peralatan bengkel,Peralatan bengkel,Peralatan bengkel,Peralatan bengkel,Peralatan bengkel,,level_clue.png,Hard
SEMUT,SARANG,BURUNG,PARUH,PANJANG[*],RAMBUT,POTONG,KUE,LAPIS,LEGIT,bg3.jpg,,Huruf terakhir: G,,,,,,,Huruf terakhir: S,,level3.png,Hard
