1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
KRESEK,KANTONG,UDARA,DINGIN,KULKAS,MINI,SPEAKER,PORTABLE,KOMPOR,TANAM,bg1.jpg,,Jumlah huruf: 7,,Jumlah huruf: 6,,,Jumlah huruf: 7,,Jumlah huruf: 6,,level1.png,Easy
BAN,SEREP,KUNCI,INGGRIS,BENDERA,TIANG,LISTRIK,KABEL,USB,COLOKAN,bg1.jpg,,Jumlah huruf: 5,,Jumlah huruf: 7,,,Jumlah huruf: 7,,Jumlah huruf: 3,,level1.png,Easy
BACA CLUENYA,KAMPUNG,NEGERI,CEMANI[*],JAGO,BEKISAR,KALKUN,KATE,PELUNG,BACA CLUENYA,bg_clue.jpg,,Nama jenis ayam,Nama jenis ayam,Nama jenis ayam,Nama jenis ayam,Nama jenis ayam,Nama jenis ayam,Nama jenis ayam,Nama jenis ayam,,level_clue.png,Hard
KAMERA,FOTO,STUDIO,REKAMAN,MUSIK,ALIRAN,SESAT,AJARAN,TAHUN,BARU,bg1.jpg,,Jumlah huruf: 4,,Jumlah huruf: 7,,,Jumlah huruf: 5,,Jumlah huruf: 5,,level1.png,Easy
KIPAS,SATE,TUSUK,GIGI,TARING,ULAR,SAWAH,IRIGASI,SALURAN,PERNAPASAN,bg2.jpg,,Huruf terakhir: E,,Huruf terakhir: I,,,Huruf terakhir: H,,Huruf terakhir: N,,level2.png,Medium
AYAKAN,PASIR,KARUNG,BALAP,LINTASAN,LARI,SEPATU,LEM,KOREA,DRAMA,bg2.jpg,,Huruf terakhir: R,,Huruf terakhir: P,,,Huruf terakhir: U,,Huruf terakhir: A,,level2.png,Medium
LANGKAH,SERIBU,PULAU,TERPENCIL,DESA,PERANGKAT,ELEKTRONIK,SAMPAH,TONG,KOSONG,bg2.jpg,,Huruf terakhir: U,,Huruf terakhir: L,,,Huruf terakhir: K,,Huruf terakhir: G,,level2.png,Medium
PAPAN,SELANCAR,ANGIN,KINCIR,AIR,KERAS,KEPALA,SAKIT,HATI,CACING,bg2.jpg,,Huruf terakhir: R,,Huruf terakhir: R,,,Huruf terakhir: A,,Huruf terakhir: I,,level2.png,Medium
PELAJAR,TENTARA,MARKAS,BESAR,HARAPAN,HIDUP,SEHAT,MENTAL,TEMPE,PENYET,bg3.jpg,,Huruf terakhir: A,,,,,,,Huruf terakhir: E,,level3.png,Hard
RAHASIA,AGEN,BUS,PARIWISATA,ROMBONGAN,HAJI,NAIK,KELAS,PEMBAGIAN,SEMBAKO,bg3.jpg,,Huruf terakhir: N,,,,,,,Huruf terakhir: N,,level3.png,Hard
