1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
KUNCI,INGGRIS,GARAM,GUDANG,PENYIMPANAN,BARANG,KONSUMSI,PUBLIK,FIGUR,PEMIMPIN,bg1.jpg,,,,Jumlah huruf: 6,,,Jumlah huruf: 8,,,,level1.png,Easy
MONYET,TOPENG,PESTA,PERNIKAHAN,DINI,PEMBERITAHUAN,SURAT,KETERANGAN,TAMBAHAN,MAKANAN,bg1.jpg,,,,Jumlah huruf: 10,,,Jumlah huruf: 5,,,,level1.png,Easy
BACA CLUENYA,PENSIL,SPIDOL,STABILO,PENGHAPUS,PENGGARIS,STAPLER,RAUTAN,PULPEN,BACA CLUENYA,bg_clue.jpg,,Alat perkantoran,Alat perkantoran,Alat perkantoran,Alat perkantoran,Alat perkantoran,Alat perkantoran,Alat perkantoran,Alat perkantoran,,level_clue.png,Hard
GOYANG,DANGDUT,PENYANYI,SOLO,KARIER,JENJANG,PENDIDIKAN,KALENDER,MASEHI,TAHUN,bg1.jpg,,,,Jumlah huruf: 4,,,Jumlah huruf: 10,,,,level1.png,Easy
BUSI,KUNCI,KATA,BENDA,TAJAM,LIDAH,MERTUA,RUMAH,ADAT,UPACARA,bg2.jpg,,,,Huruf terakhir: A,,,Huruf terakhir: A,,,,level2.png,Medium
BACA CLUENYA,BOTTLE,PENCIL,RULER,CHAIR,TONGUE,BAG,HAT,TIE,BACA CLUENYA,bg_clue.jpg,,Botol (INGGSIS),Pensil (INGGSIS),Penggaris (INGGSIS),Kursi (INGGSIS),Lidah (INGGSIS),Tas (INGGSIS),Topi (INGGSIS),Dasi (INGGSIS),,level_clue.png,Medium
JAM,TALI,POCONG,PENAMPAKAN,HANTU,BELANDA,PENINGGALAN,SEJARAH,FAKTA,ILMIAH,bg2.jpg,,,,Huruf terakhir: N,,,Huruf terakhir: N,,,,level2.png,Medium
GUBUG,KAYU,LAPIS,KUE,KERING,SUMUR,GALI,LUBANG,UDARA,SEJUK,bg2.jpg,,,,Huruf terakhir: E,,,Huruf terakhir: I,,,,level2.png,Medium
BACA CLUENYA,GPU,BERUANG,PARCOK,DRAGON,TAWON,GELIGA,KAPAK,BALJITOT,BACA CLUENYA,bg_clue.jpg,,Merek minyak urut,Merek minyak urut,Merek minyak urut,Merek minyak urut,Merek minyak urut,Merek minyak urut,Merek minyak urut,Merek minyak urut,,level_clue.png,Hard
KONTRAK,KERJASAMA,INTERNASIONAL,PERJANJIAN,TERTULIS,LAPORAN,BULANAN,BELANJA,HARIAN,AKTIVITAS,bg3.jpg,,Huruf terakhir: A,,,,,,,Huruf terakhir: N,,level3.png,Hard
