1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
TUKUL,ARWANA,IKAN,PASAR,BURUNG[*],MERPATI,POS,RONDA,JADWAL,PELAJARAN,bg1.jpg,,,,Jumlah huruf: 5,,,Jumlah huruf: 3,,,,level1.png,Easy
SOTO,MADURA,SATE,TUSUK,KONDE,RAMBUT,POTONG,KUKU,PALSU,GIGI,bg1.jpg,,,,Jumlah huruf: 5,,,Jumlah huruf: 6,,,,level1.png,Easy
BACA CLUENYA,BRISK,TANCHO,BRYLCREEM,MANDOM[*],MORRIS,MAKARIZO,GATSBY,LEVENDER,BACA CLUENYA,bg_clue.jpg,,Merek minyak rambut,Merek minyak rambut,Merek minyak rambut,Merek minyak rambut,Merek minyak rambut,Merek minyak rambut,Merek minyak rambut,Merek minyak rambut,,level_clue.png,Hard
JAGO,AYAM,BANGKOK,JAMBU,MERAH,DARAH,BIRU,LANGIT,PELUKIS,KANVAS,bg1.jpg,,,,Jumlah huruf: 5,,,Jumlah huruf: 4,,,,level1.png,Easy
SALTO,JUNGKIR,BALIK,BADAN,BAU,KENCUR,BERAS,KETAN,TAPE,SINGKONG,bg2.jpg,,,,Huruf terakhir: N,,,Huruf terakhir: S,,,,level2.png,Medium
BACA CLUENYA,PHILIPS,MIYAKO,COSMOS,YONGMA[*],SHARP,SANKEN,POLYTRON,MASPION,BACA CLUENYA,bg_clue.jpg,,Merek Magic Com,Merek Magic Com,Merek Magic Com,Merek Magic Com,Merek Magic Com,Merek Magic Com,Merek Magic Com,Merek Magic Com,,level_clue.png,Medium
ES,KRIM,CUKUR,KUMIS,KUCING[*],BULU,DADA,LAPANG,PIKIRAN,BEBAN,bg2.jpg,,,,Huruf terakhir: S,,,Huruf terakhir: A,,,,level2.png,Medium
GANGGUAN,TIDUR,MENDENGKUR,KERAS,KERJA,LAPANGAN,BADMINTON,JARING,IKAN,PAKAN,bg2.jpg,,,,Huruf terakhir: S,,,Huruf terakhir: N,,,,level2.png,Medium
BACA CLUENYA,PASEO,NICE,JOLLY,WATERU[*],OLAIF,PLENTY,MINISO,TESSA,BACA CLUENYA,bg_clue.jpg,,Merek Tisu,Merek Tisu,Merek Tisu,Merek Tisu,Merek Tisu,Merek Tisu,Merek Tisu,Merek Tisu,,level_clue.png,Hard
GERIK,GERAK,LAMBAT,JALUR,ALTERNATIF[*],PENGOBATAN,MODERN,TEKNOLOGI,CANGGIH,PONSEL,bg3.jpg,,Huruf terakhir: K,,,,,,,Huruf terakhir: H,,level3.png,Hard
