1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
KUPING,GAJAH,DUDUK,KURSI,RODA,BULAT,,,,,bg1.jpg,,Jumlah huruf: 5,,,Jumlah huruf: 4,,,,,,level1.png,Easy
CAPUNG,JARUM,KOMPAS,MAGNET,KUTUB,UTARA,,,,,bg1.jpg,,Jumlah huruf: 5,,,Jumlah huruf: 5,,,,,,level1.png,Easy
LINDUNG,HUTAN,KEBAKARAN,PEMADAM,TABUNG,ELPIJI,GAS,,,,bg1.jpg,,Jumlah huruf: 5,,,,Jumlah huruf: 6,,,,,level1.png,Easy
STAPLER,KERTAS,GUNTING,TAJAM,SILET,CUKUR,PISAU,,,,bg1.jpg,,Jumlah huruf: 6,,,,Jumlah huruf: 5,,,,,level1.png,Easy
AIR,TERJUN,PAYUNG,HUJAN,LEBAT,BULU,ULAT,SUTRA,,,bg2.jpg,,Jumlah huruf: 6,,,,,Jumlah huruf: 4,,,,level2.png,Medium
MINYAK,TAWON,SARANG,SEMUT,MERAH,LAMPU,TAMAN,BANGKU,,,bg2.jpg,,Huruf terakhir: N,,,,,Huruf terakhir: N,,,,level2.png,Medium
KERIPIK,SINGKONG,CABUT,GIGI,SUSU,SAPI,DAGING,CINCANG,BAWANG,,bg2.jpg,,Huruf terakhir: G,,,,,,Huruf terakhir: G,,,level2.png,Medium
POTONG,BEBEK,TELUR,ASIN,GARAM,DAPUR,UMUM,JALAN,GERAK,,bg2.jpg,,Huruf terakhir: K,,,,,,Huruf terakhir: N,,,level2.png,Medium
BACA CLUENYA,SPIN,NEX,BURGMAN,SATRIA,AVENIS[*],GIXXER,VSTROM,HAYATE,BACA CLUENYA,bg_clue.jpg,,Tipe motor Suzuki,Tipe motor Suzuki,Tipe motor Suzuki,Tipe motor Suzuki,Tipe motor Suzuki,Tipe motor Suzuki,Tipe motor Suzuki,Tipe motor Suzuki,,level_clue.png,Hard
KARAMBOL,BIJI,KARET,GETAH,LENGKET[*],PERANGKO,SURAT,CINTA,MONYET,EKOR,bg3.jpg,,Huruf terakhir: I,,,,,,,Huruf terakhir: T,,level3.png,Hard
