1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
JOKI,UJIAN,KARTU,DOMINO,EFEK,BURSA,SAHAM,PERUSAHAAN,PIMPINAN,LEMBAGA,bg1.jpg,,,,Jumlah huruf: 6,,,Jumlah huruf: 5,,,,level1.png,Easy
KOPER,BAGASI,PESAWAT,PILOT,SERAGAM,SEKOLAH,LIBUR,LEBARAN,KETUPAT,JANUR,bg1.jpg,,,,Jumlah huruf: 5,,,Jumlah huruf: 5,,,,level1.png,Easy
BACA CLUENYA,BAYAM,KATUK,SAWI,BAKCHOI,SELADA,BROKOLI,KANGKUNG,BUNCIS,BACA CLUENYA,bg_clue.jpg,,Sayuran hijau,Sayuran hijau,Sayuran hijau,Sayuran hijau,Sayuran hijau,Sayuran hijau,Sayuran hijau,Sayuran hijau,,level_clue.png,Hard
LUBANG,SEMUT,BARIS,LURUS,GARIS,BUJUR,SANGKAR,BURUNG,CAKAR,TAJAM,bg1.jpg,,,,Jumlah huruf: 5,,,Jumlah huruf: 7,,,,level1.png,Easy
GANG,BUNTU,JALAN,LINGKAR,KEPALA,LOKOMOTIF,GERBONG,SAMBUNGAN,PIPA,LEM,bg2.jpg,,,,Huruf terakhir: R,,,Huruf terakhir: G,,,,level2.png,Medium
BACA CLUENYA,SAMSUNG,TCL,SONY,SHARP,POLYTRON,LG[*],TOSHIBA,PANASONIC,BACA CLUENYA,bg_clue.jpg,,Merek televisi,Merek televisi,Merek televisi,Merek televisi,Merek televisi,Merek televisi,Merek televisi,Merek televisi,,level_clue.png,Medium
BUS,PARIWISATA,DINAS,PEMADAM,KEBAKARAN,HUTAN,KONSERVASI,LAHAN,BASAH,TANGAN,bg2.jpg,,,,Huruf terakhir: M,,,Huruf terakhir: I,,,,level2.png,Medium
BACA CLUENYA,COFFEE,SUGAR,MILK,CANDLECANTER,CORIANDER,HAIR,ROSE,FLOWER,BACA CLUENYA,bg_clue.jpg,,KOPI (INGGRIS),GULA (INGGRIS),SUSU (INGGRIS),KEMIRI  (INGGRIS),KETUMBAR (INGGRIS),RAMBUT (INGGRIS),MAWAR (INGGRIS),BUNGA (INGGRIS),,level_clue.png,Medium
TIMBANGAN,BADAN,BERAT,KELAS,TINGGAL,SELAMAT,BISKUIT,KELAPA,AIR,TERJUN,bg3.jpg,,,,,Huruf terakhir: L,,,,,,level3.png,Hard
BELIMBING,SAYUR,KUAH,PANAS,CUACA,BALON,TIUP,LILIN,MALAM,JAGA,bg3.jpg,,,,,Huruf terakhir: A,,,,,,level3.png,Hard
