1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
ANTAM,EMAS,MURNI,SUSU,KOTAK,POS,KANTOR,ALAMAT,PALSU,UANG,bg1.jpg,,,,Jumlah huruf: 4,,,Jumlah huruf: 6,,,,level1.png,Easy
ISI,TAHU,KUNING,GIGI,KARANG,BATU,APUNG,RUMAH,POHON,TANAM,bg1.jpg,,,,Jumlah huruf: 4,,,Jumlah huruf: 5,,,,level1.png,Easy
BACA CLUENYA,SATAY,CHICKEN,GOAT,MEATBALL,SNACK,BATTERY,PLATE,BOWL,BACA CLUENYA,bg_clue.jpg,,SATE (INGGRIS),AYAM  (INGGRIS),KAMBING (INGGRIS),BAKSO (INGGRIS),CEMILAN (INGGRIS),BATERAI (INGGRIS),PIRING (INGGRIS),MANGKUK (INGGRIS),,level_clue.png,Hard
SENAR,GITAR,LISTRIK,TOKEN,KODE,RAHASIA,DOKUMEN,PERJALANAN,KARIER,WANITA,bg1.jpg,,,,Jumlah huruf: 5,,,Jumlah huruf: 7,,,,level1.png,Easy
CEROBONG,ASAP,KENDARAAN,PRIBADI,JET,PESAWAT,TELEPON,KABEL,TELEVISI,ANTENA,bg2.jpg,,,,Huruf terakhir: I,,,Huruf terakhir: N,,,,level2.png,Medium
BACA CLUENYA,KINGKOIL,ELITE,TURU,FLORENCE,COMFORTA,AIRLAND,CENTRAL,UNILAND,BACA CLUENYA,bg_clue.jpg,,Merek springbed,Merek springbed,Merek springbed,Merek springbed,Merek springbed,Merek springbed,Merek springbed,Merek springbed,,level_clue.png,Medium
OLI,MESIN,JAHIT,KARUNG,BERAS,KETAN,TAPE,SINGKONG,REBUS,MI,bg2.jpg,,,,Huruf terakhir: G,,,Huruf terakhir: E,,,,level2.png,Medium
BACA CLUENYA,SAMSUNG,APPLE,XIAOMI,OPPO,REALME,VIVO,ADVAN,HUAWEI,BACA CLUENYA,bg_clue.jpg,,Merek HP,Merek HP,Merek HP,Merek HP,Merek HP,Merek HP,Merek HP,Merek HP,,level_clue.png,Medium
BANK,SWASTA,SEKOLAH,MURID,TELADAN,KARYAWAN,PABRIK,GULA,JAWA,TENGAH,bg3.jpg,,Huruf terakhir: A,,,,,,,Huruf terakhir: A,,level3.png,Hard
PARODI,LAGU,KENANGAN,PAHIT,JAMU,GENDONG,BAYI,SELIMUT,BANTAL,GULING,bg3.jpg,,Huruf terakhir: U,,,,,,,Huruf terakhir: L,,level3.png,Hard
