1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
GIGI,TUSUK,SATE,KAMBING,TANDUK[*],RUNCING,BAMBU,KERAJINAN,TANGAN,BESI,bg1.jpg,,,,Jumlah huruf: 7,,,Jumlah huruf: 5,,,,level1.png,Easy
PUPUK,KANDANG,KAMBING,SATE,BUMBU[*],TEPUNG,BERAS,KETAN,TAPE,SINGKONG,bg1.jpg,,,,Jumlah huruf: 4,,,Jumlah huruf: 5,,,,level1.png,Easy
BACA CLUENYA,VENUS,MERKURIUS,BUMI,NEPTUNUS[*],MARS,JUPITER,URANUS,SATURNUS,BACA CLUENYA,bg_clue.jpg,,Nama planet,Nama planet,Nama planet,Nama planet,Nama planet,Nama planet,Nama planet,Nama planet,,level_clue.png,Hard
KENDALI,PELURU,SENAPAN,ANGIN,KIPAS[*],MERPATI,BURUNG,TELUR,DADAR,GULUNG,bg1.jpg,,,,Jumlah huruf: 5,,,Jumlah huruf: 6,,,,level1.png,Easy
GONI,KARUNG,BALAP,MERPATI,POS[*],KANTOR,ALAMAT,PALSU,UANG,BAKAR,bg2.jpg,,,,Huruf terakhir: I,,,Huruf terakhir: T,,,,level2.png,Medium
BACA CLUENYA,PERTAMAX,PERTALITE,DEXLITE,BIOSOLAR[*],PERTADEX,ELPIJI,MESRAN,FASTRON,BACA CLUENYA,bg_clue.jpg,,Produk dari Pertamina,Produk dari Pertamina,Produk dari Pertamina,Produk dari Pertamina,Produk dari Pertamina,Produk dari Pertamina,Produk dari Pertamina,Produk dari Pertamina,,level_clue.png,Medium
TABUNG,GAS,AGEN,PERJALANAN,DINAS[*],PENDIDIKAN,KALENDER,MASEHI,TAHUN,BARU,bg2.jpg,,,,Huruf terakhir: N,,,Huruf terakhir: R,,,,level2.png,Medium
BAPAK,GURU,RUANG,OPERASI,KATARAK[*],MATA,KELOPAK,BUNGA,BANK,SATPAM,bg2.jpg,,,,Huruf terakhir: I,,,Huruf terakhir: K,,,,level2.png,Medium
BACA CLUENYA,MATEMATIKA,FISIKA,KIMIA,BIOLOGI[*],EKONOMI,AKUNTANSI,SEJARAH,GEOGRAFI,BACA CLUENYA,bg_clue.jpg,,Mata pelajaran SMA,Mata pelajaran SMA,Mata pelajaran SMA,Mata pelajaran SMA,Mata pelajaran SMA,Mata pelajaran SMA,Mata pelajaran SMA,Mata pelajaran SMA,,level_clue.png,Hard
TINDIK,TELINGA,DAUN,PUPUK,KANDANG[*],KAMBING,GULING,BANTAL,ROTI,TAWAR,bg3.jpg,,Huruf terakhir: A,,,,,,,Huruf terakhir: I,,level3.png,Hard
