1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
ANGIN,MASUK,KERJA,LEMBUR,MALAM,KERETA,BARANG,ANTIK,MOBIL,BENGKEL,bg1.jpg,,Jumlah huruf: 5,,Jumlah huruf: 6,,,Jumlah huruf: 6,,Jumlah huruf: 5,,level1.png,Easy
RENANG,KOLAM,BUATAN,TANGAN,KOSONG,RUMAH,KONTRAK,PEKERJA,SEMUT,BERBARIS,bg1.jpg,,Jumlah huruf: 5,,Jumlah huruf: 6,,,Jumlah huruf: 7,,Jumlah huruf: 5,,level1.png,Easy
PINANG,PANJAT,TEBING,CURAM,JALAN,ALTERNATIF,PENGOBATAN,TRADISIONAL,MAINAN,ANAK,bg1.jpg,,Jumlah huruf: 6,,Jumlah huruf: 5,,,Jumlah huruf: 10,,Jumlah huruf: 6,,level1.png,Easy
KUAH,SANTAN,INSTAN,KOPI,BUBUK,MERICA,HALUS,MAKHLUK,HIDUP,GAYA,bg1.jpg,,Jumlah huruf: 6,,Jumlah huruf: 4,,,Jumlah huruf: 5,,Jumlah huruf: 5,,level1.png,Easy
PURBA,HEWAN,PELIHARAAN,KUCING,KAMPUNG,HALAMAN,BUKU,TULIS,TANGAN,ANGKAT,bg2.jpg,,Huruf terakhir: N,,Huruf terakhir: G,,,Huruf terakhir: U,,Huruf terakhir: N,,level2.png,Medium
MURNI,SUSU,PUTIH,BAWANG,GORENG,MINYAK,BUMI,ROTASI,JABATAN,STRUKTURAL,bg2.jpg,,Huruf terakhir: U,,Huruf terakhir: G,,,Huruf terakhir: I,,Huruf terakhir: N,,level2.png,Medium
ANGKAT,BESI,SIKU,PENGGARIS,PLASTIK,PIRING,PECAH,TELUR,ASIN,GARAM,bg2.jpg,,Huruf terakhir: I,,Huruf terakhir: S,,,Huruf terakhir: H,,Huruf terakhir: N,,level2.png,Medium
ANGKAT,ANAK,KUNCI,GEMBOK,PAGAR,PINTU,RUMAH,TERAS,GEDUNG,BIOSKOP,bg2.jpg,,Huruf terakhir: K,,Huruf terakhir: K,,,Huruf terakhir: H,,Huruf terakhir: G,,level2.png,Medium
BACA CLUENYA,SOEKARNO,MEGAWATI,SBY,JOKOWI[*],ABDURRAHMAN,HABIBIE,PRABOWO,SOEHARTO,BACA CLUENYA,bg_clue.jpg,,Presiden RI,Presiden RI,Presiden RI,Presiden RI,Presiden RI,Presiden RI,Presiden RI,Presiden RI,,level_clue.png,Hard
DONAT,KENTANG,KERIPIK,RENYAH,BISKUIT,KACANG,KULIT,LUMPIA,BASAH,BAJU,bg3.jpg,,Huruf terakhir: G,,,,,,,Huruf terakhir: H,,level3.png,Hard
