1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
PROYEK,HELM,BALAP,MOTOR,SERVIS,BENGKEL,RESMI,JALUR,PINDAH,SURAT,bg1.jpg,,Jumlah huruf: 4,,Jumlah huruf: 5,,,Jumlah huruf: 5,,Jumlah huruf: 6,,level1.png,Easy
KERTAS,UANG,SOBEK,ROTI,TAWAR,HARGA,PASAR,KAGET,REAKSI,TEMBAK,bg1.jpg,,Jumlah huruf: 4,,Jumlah huruf: 4,,,Jumlah huruf: 5,,Jumlah huruf: 6,,level1.png,Easy
BACA CLUENYA,MARTABAK,SIOMAY,BATAGOR,PEMPEK,GORENGAN,SATE,SOTO,CIRENG,BACA CLUENYA,bg_clue.jpg,,Jajanan kaki 5,Jajanan kaki 5,Jajanan kaki 5,Jajanan kaki 5,Jajanan kaki 5,Jajanan kaki 5,Jajanan kaki 5,Jajanan kaki 5,,level_clue.png,Hard
BIOLOGI,PENELITIAN,PROYEK,PEKERJA,PABRIK,SEMEN,INSTAN,MAKANAN,SEHAT,HIDUP,bg1.jpg,,Jumlah huruf: 10,,Jumlah huruf: 7,,,Jumlah huruf: 6,,Jumlah huruf: 5,,level1.png,Easy
PRAKTEK,LAPANGAN,TERBANG,PESAWAT,SAYAP,AYAM,BANGKOK,JAMBU,AIR,BERSIH,bg2.jpg,,Huruf terakhir: N,,Huruf terakhir: T,,,Huruf terakhir: K,,Huruf terakhir: R,,level2.png,Medium
BACA CLUENYA,ASTOR,TWISTER,CHOCHO,RONDOLETTI,CHOCOLATOS,BISKITOP,KOGEN,FULLO,BACA CLUENYA,bg_clue.jpg,,Cemilan wafer stick,Cemilan wafer stick,Cemilan wafer stick,Cemilan wafer stick,Cemilan wafer stick,Cemilan wafer stick,Cemilan wafer stick,Cemilan wafer stick,,level_clue.png,Hard
KEAMANAN,PETUGAS,KESEHATAN,FASILITAS,UMUM,SEKOLAH,PERPUSTAKAAN,BUKU,CETAK,MEDIA,bg2.jpg,,Huruf terakhir: S,,Huruf terakhir: S,,,Huruf terakhir: N,,Huruf terakhir: K,,level2.png,Medium
STETOSKOP,DOKTER,JANTUNG,PISANG,BOLU,KUKUS,BROWNIES,PANGGANG,AYAM,BULU,bg2.jpg,,Huruf terakhir: R,,Huruf terakhir: G,,,Huruf terakhir: S,,Huruf terakhir: M,,level2.png,Medium
BACA CLUENYA,BUNGA,CASSANDRA,GRITTE,MARISSA,MAUDY,MARSHA,MIKHA,VELOVE,BACA CLUENYA,bg_clue.jpg,,Artis wanita,Artis wanita,Artis wanita,Artis wanita,Artis wanita,Artis wanita,Artis wanita,Artis wanita,,level_clue.png,Hard
BAGI,HASIL,KERJA,PAKSA,BONGKAR,MUATAN,TRUK,GANDENG,TANGAN,KAKI,bg3.jpg,,Huruf terakhir: L,,,,,,,Huruf terakhir: N,,level3.png,Hard
