1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
PELURU,SENAPAN,ANGIN,KENCANG,IKAT,TALI,JEMURAN,KERING,TANAH,DIJUAL,bg1.jpg,,Jumlah huruf: 7,,Jumlah huruf: 7,,,Jumlah huruf: 7,,Jumlah huruf: 5,,level1.png,Easy
JEPIT,RAMBUT,LURUS,JALAN,SEMPIT,CELANA,SLETING,JAKET,HANGAT,TEH,bg1.jpg,,Jumlah huruf: 6,,Jumlah huruf: 5,,,Jumlah huruf: 7,,Jumlah huruf: 6,,level1.png,Easy
SHOLAT,AZAN,SUARA,OMBAK,PASANG,LAMPU,TERANG,CAHAYA,BULAN,DESEMBER,bg1.jpg,,Jumlah huruf: 4,,Jumlah huruf: 5,,,Jumlah huruf: 6,,Jumlah huruf: 5,,level1.png,Easy
PAHLAWAN,REVOLUSI,MENTAL,BAJA,RINGAN,TANGAN,BESI,BETON,LEHER,BANTAL,bg1.jpg,,Jumlah huruf: 8,,Jumlah huruf: 4,,,Jumlah huruf: 4,,Jumlah huruf: 5,,level1.png,Easy
LAYANGAN,PUTUS,CINTA,MONYET,TOPENG,HANTU,BURUNG,PARUH,WAKTU,MESIN,bg2.jpg,,Huruf terakhir: S,,Huruf terakhir: T,,,Huruf terakhir: G,,Huruf terakhir: U,,level2.png,Medium
SERULING,BAMBU,TONGKAT,PRAMUKA,BARET,HIJAU,RUMPUT,JEPANG,BAHASA,TUBUH,bg2.jpg,,Huruf terakhir: U,,Huruf terakhir: A,,,Huruf terakhir: T,,Huruf terakhir: A,,level2.png,Medium
TEPUNG,TERIGU,KANTONG,AJAIB,PINTU,GERBANG,MASUK,TIKET,KONSER,MUSIK,bg2.jpg,,Huruf terakhir: U,,Huruf terakhir: B,,,Huruf terakhir: K,,Huruf terakhir: R,,level2.png,Medium
GITAR,LISTRIK,SEPEDA,SADEL,KULIT,SEPATU,KANVAS,LUKIS,PIGURA,FOTO,bg2.jpg,,Huruf terakhir: K,,Huruf terakhir: L,,,Huruf terakhir: S,,Huruf terakhir: A,,level2.png,Medium
BACA CLUENYA,SULING,HARMONIKA,SAKSOFON,TROMPET[*],TROMBON,KLARINET,TUBA,SERUNAI,BACA CLUENYA,bg_clue.jpg,,Alat musik tiup,Alat musik tiup,Alat musik tiup,Alat musik tiup,Alat musik tiup,Alat musik tiup,Alat musik tiup,Alat musik tiup,,level_clue.png,Hard
TAMAN,BUNGA,MAWAR,DURI,TAJAM,BENDA,KATA,LAWAN,ARUS,SUNGAI,bg3.jpg,,Huruf terakhir: A,,,,,,,Huruf terakhir: S,,level3.png,Hard
