1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
COLOKAN,CHARGER,HANDPHONE,CASING,KARET[*],GETAH,LENGKET,ISOLASI,LISTRIK,TOKEN,bg1.jpg,,Jumlah huruf: 7,,Jumlah huruf: 6,,,Jumlah huruf: 7,,Jumlah huruf: 7,,level1.png,Easy
KERUPUK,KULIT,GATAL,SALEP,JERAWAT[*],BATU,CINCIN,PERAK,TAMBANG,MINERAL,bg1.jpg,,Jumlah huruf: 5,,Jumlah huruf: 5,,,Jumlah huruf: 6,,Jumlah huruf: 7,,level1.png,Easy
BACA CLUENYA,BIMOLI,SANIA,FILMA,SUNCO,TAWON,MINYAKITA,TROPICAL,BARCO,BACA CLUENYA,bg_clue.jpg,,Merek minyak goreng,Merek minyak goreng,Merek minyak goreng,Merek minyak goreng,Merek minyak goreng,Merek minyak goreng,Merek minyak goreng,Merek minyak goreng,,level_clue.png,Hard
TANDUK,DOMBA,GARUT,DODOL,MANIS[*],MADU,LEBAH,SENGAT,TAWON,MINYAK,bg1.jpg,,Jumlah huruf: 5,,Jumlah huruf: 5,,,Jumlah huruf: 5,,Jumlah huruf: 5,,level1.png,Easy
PERKEDEL,KENTANG,KUPAS,TUNTAS,URUSAN[*],BISNIS,KELAS,NAIK,GUNUNG,MELETUS,bg2.jpg,,Huruf terakhir: G,,Huruf terakhir: S,,,Huruf terakhir: S,,Huruf terakhir: G,,level2.png,Medium
SAPI,ABON,AYAM,PANGGANG,SOSIS[*],JUMBO,UKURAN,PANJANG,RAMBUT,GUNTING,bg2.jpg,,Huruf terakhir: N,,Huruf terakhir: G,,,Huruf terakhir: N,,Huruf terakhir: T,,level2.png,Medium
PELURU,KARET,GELANG,EMAS,MEDALI[*],JUARA,LOMBA,DEBAT,KUSIR,DELMAN,bg2.jpg,,Huruf terakhir: T,,Huruf terakhir: S,,,Huruf terakhir: A,,Huruf terakhir: R,,level2.png,Medium
COPET,DOMPET,KULIT,KERING,BIBIR[*],BUAH,HATI,SUARA,REKAMAN,VIDEO,bg2.jpg,,Huruf terakhir: T,,Huruf terakhir: G,,,Huruf terakhir: I,,Huruf terakhir: N,,level2.png,Medium
PESAWAT,TEMPUR,PASUKAN,KHUSUS,KILAT[*],CAHAYA,BULAN,GERHANA,TOTAL,MACET,bg3.jpg,,Huruf terakhir: R,,,,,,,Huruf terakhir: L,,level3.png,Hard
POSTER,IKLAN,TELEVISI,TABUNG,OKSIGEN[*],NAPAS,TARIK,TAMBANG,JEMURAN,BAJU,bg3.jpg,,Huruf terakhir: N,,,,,,,Huruf terakhir: N,,level3.png,Hard
