1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
MINERAL,AIR,HUJAN,LEBAT,POHON,RAMBUTAN,KULIT,KERING,KANTONG,CELANA,bg1.jpg,,,,Jumlah huruf: 5,,,Jumlah huruf: 5,,,,level1.png,Easy
MODEREN,KEBAYA,MOTIF,KUPUKUPU,TERBANG,PESAWAT,PRAMUGARI,MANTAN,KANGEN,BAND,bg1.jpg,,,,Jumlah huruf: 8,,,Jumlah huruf: 9,,,,level1.png,Easy
BACA CLUENYA,RUPIAH,DOLLAR,BAHT[*],DONG[*],DRAM[*],RUPEE[*],RINGGIT,RIYAL,BACA CLUENYA,bg_clue.jpg,,Mata uang Indonesia,Mata uang Amerika,Mata uang Thailand,Mata uang Vietnam,Mata uang Armenia,Mata uang India,Mata uang Malaysia,Mata uang Arab,,level_clue.png,Hard
BELAJAR,RUANG,OLAHRAGA,PERLENGKAPAN,KANTOR,MANAJEMEN,KEGIATAN,EKONOMI,INDUSTRI,KREATIF,bg1.jpg,,,,Jumlah huruf: 12,,,Jumlah huruf: 8,,,,level1.png,Easy
MULUR,KARET,JAM,BATERAI,JEMUR,KASUR,BUSA,SABUN,CUCI,PIRING,bg2.jpg,,,,Huruf terakhir: I,,,Huruf terakhir: A,,,,level2.png,Medium
BACA CLUENYA,NEPTUNUS,URANUS,MARS[*],MERKURIUS,VENUS,BUMI,JUPITER,SATURNUS,BACA CLUENYA,bg_clue.jpg,,Nama planet,Nama planet,Nama planet,Nama planet,Nama planet,Nama planet,Nama planet,Nama planet,,level_clue.png,Medium
KUNCI,GEMBOK,PAGAR,RUMAH,MAKAN,MOGOK,MOBIL,SETIR,KURSUS,BAHASA,bg2.jpg,,,,Huruf terakhir: H,,,Huruf terakhir: L,,,,level2.png,Medium
TOMAT,SAOS,SAMBAL,TERI,NASI,KUNING,GIGI,MOTOR,SPION,ELEKTRIK,bg2.jpg,,,,Huruf terakhir: I,,,Huruf terakhir: I,,,,level2.png,Medium
BACA CLUENYA,MELATI,KAMBOJA,ANGGREK,KADUPUL[*],BANGKAI[*],TERATAI,SAKURA,LILY,BACA CLUENYA,bg_clue.jpg,,Nama bunga,Nama bunga,Nama bunga,Nama bunga,Nama bunga,Nama bunga,Nama bunga,Nama bunga,,level_clue.png,Hard
RUAS,JARI,MANIS,KENCING,BAYAR,PARKIR,TIKET,GRATIS,NONTON,BARENG,bg3.jpg,,Huruf terakhir: I,,,,,,,Huruf terakhir: N,,level3.png,Hard
