1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
TABLET,LAYAR,SENTUH,TOMBOL,FISIK,LATIHAN,MENTAL,TEMPE,SAMBAL,KECAP,bg1.jpg,,,,Jumlah huruf: 6,,,Jumlah huruf: 6,,,,level1.png,Easy
HANTU,RUMAH,ANGKER,POHON,ROBOH,JEMBATAN,TIMBANG,BADAN,USAHA,WIRA,bg1.jpg,,,,Jumlah huruf: 5,,,Jumlah huruf: 7,,,,level1.png,Easy
BACA CLUENYA,ALFAMART,HYPERMART,SUPERINDO,CARREFOUR,LOTTEMART,GIANT,ALFAMIDI,INDOMARET,BACA CLUENYA,bg_clue.jpg,,Swalayan & Supermarket,Swalayan & Supermarket,Swalayan & Supermarket,Swalayan & Supermarket,Swalayan & Supermarket,Swalayan & Supermarket,Swalayan & Supermarket,Swalayan & Supermarket,,level_clue.png,Hard
PESAWAT,SIRIP,IKAN,DURI,MAWAR,MERAH,DARAH,DONOR,ORGAN,DALAM,bg1.jpg,,,,Jumlah huruf: 4,,,Jumlah huruf: 5,,,,level1.png,Easy
SUBUR,KANDUNGAN,DOKTER,JAGA,MALAM,BUS,PENUMPANG,GELAP,MATA,RODA,bg2.jpg,,,,Huruf terakhir: A,,,Huruf terakhir: G,,,,level2.png,Medium
BACA CLUENYA,PALU,TANG,OBENG,WATERPASS,GERINDA,METERAN,LINGGIS,GERGAJI,BACA CLUENYA,bg_clue.jpg,,Alat pertukangan,Alat pertukangan,Alat pertukangan,Alat pertukangan,Alat pertukangan,Alat pertukangan,Alat pertukangan,Alat pertukangan,,level_clue.png,Medium
JONGKOK,JALAN,BUNTU,PIKIRAN,POSITIF,KUTUB,UTARA,ARAH,LAWAN,TANDING,bg2.jpg,,,,Huruf terakhir: N,,,Huruf terakhir: A,,,,level2.png,Medium
TOKEN,LISTRIK,GARDU,PANDANG,BULU,SIKAT,SEPATU,SANDAL,JEPIT,TANG,bg2.jpg,,,,Huruf terakhir: G,,,Huruf terakhir: U,,,,level2.png,Medium
BACA CLUENYA,STETOSKOP,SUNTIKAN,TERMOMETER,OTOSKOP,TENSIMETER,SENTER,OXIMETER,TIMBANGAN,BACA CLUENYA,bg_clue.jpg,,Alat kedokteran,Alat kedokteran,Alat kedokteran,Alat kedokteran,Alat kedokteran,Alat kedokteran,Alat kedokteran,Alat kedokteran,,level_clue.png,Hard
ANTAR,KOTA,BALAI,DESA,SEKRETARIS,JENDERAL,BESAR,PASAK,BUMI,GEMPA,bg3.jpg,,Huruf terakhir: A,,,,,,,Huruf terakhir: I,,level3.png,Hard
