SOAL,IMG BG SOAL,CLUE
SOMAD MEMPERBAIKI MESIN CETAK RUSAK DI RUANG PRODUKSI SETIAP PAGI,bgs_sk_1.jpg,CLUE
SISWA MEMPELAJARI PROGRAM KOMPUTER DASAR DI LABORATORIUM SETIAP HARI SELASA,bgs_sk_2.jpg,CLUE
ROBOT PINTAR MENGANGKAT BARANG BERAT OTOMATIS SAAT PROSES PRODUKSI BERLANGSUNG,bgs_sk_3.jpg,CLUE
INSINYUR MERANCANG JARINGAN LISTRIK DI DAERAH TERPENCIL SELAMA TIGA BULAN,bgs_sk_4.jpg,CLUE
BLUEKUTUQ MELUNCURKAN GAME TERBARU MEREKA PADA ACARA RESMI DI JAKARTA,bgs_sk_5.jpg,CLUE
PROGRAMMER MENULIS KODE APLIKASI CANGGIH DI RUANG KERJA DENGAN FOKUS,bgs_sk_1.jpg,CLUE
DRONE MEREKAM GAMBAR UDARA DESA DARI KETINGGIAN SELAMA KEGIATAN SURVEI,bgs_sk_2.jpg,CLUE
PEMAIN FIGURAN MENAMPILKAN ADEGAN PERKELAHIAN PADA FILM LAGA BERTEMA KEPAHLAWANAN,bgs_sk_3.jpg,CLUE
FESTIVAL FILM MENAYANGKAN KARYA SINEMA TERBAIK DUNIA BULAN DESEMBER LALU,bgs_sk_4.jpg,CLUE
PRODUSER TERNAMA MENDANAI FILM SAINS FIKSI FUTURISTIK UNTUK PASAR GLOBAL,bgs_sk_5.jpg,CLUE
